artist	title
Octopus Project	Marshall Examines His Carcass
Coldplay	We Never Change
Justice	Waters Of Nazareth (album version)
Coldplay	Life In Technicolor ii
Cut Copy	A Dream
Saliva	Doperide
LCD Soundsystem	Daft Punk Is Playing At My House
MSTRKRFT	Easy Love
Octopus Project	Exit Counselor
Octopus Project	All Of The Champs That Ever Lived
Octopus Project	Hypnopaedia
Boys Noize	The Battery
Coldplay	The Scientist
Boys Noize	Superfresh
Boys Noize	Oh!
LCD Soundsystem	On Repeat
Sigur Rós	Sæglópur
Simian Mobile Disco	Simple
Boys Noize	Let´s Buy Happiness
Coldplay	Sparks
Cut Copy	Time Stands Still
Daft Punk	Musique
Justice	Valentine
Skream	Tortured Soul
Coldplay	Warning Sign
Hot Chip	Look After Me
Beastie Boys	The Maestro
Billy Squier	My Kinda Lover
Coldplay	In My Place
Simian Mobile Disco	Hustler
Coldplay	The Goldrush
Michael Jackson	Thriller
Hot Chip	Baby said
LCD Soundsystem	Get Innocuous!
LCD Soundsystem	Someone Great
Holy Fuck	Frenchys
Justice	Phantom
Skream	Colourful
LCD Soundsystem	Thrills
LCD Soundsystem	Great Release
Coldplay	Violet Hill
Coldplay	Lost!
Justice	DVNO
Hot Chip	Out At The Pictures
Creedence Clearwater Revival	Susie Q
Guns N' Roses	Mama Kin
Coldplay	Yellow
Daft Punk	Technologic (Peaches No Logic Remix)
Boys Noize	Lava Lava
Octopus Project	Porno Disaster
Hot Chip	Beach Party
LCD Soundsystem	Losing My Edge
Octopus Project	Responsible Stu
Coldplay	Cemeteries Of London
Coldplay	X & Y
LCD Soundsystem	Movement
Coldplay	A Rush Of Blood To The Head
Skream	Stagger
Four Tet	Harmony One
The Ordinary Boys	Boys Will Be Boys
Cut Copy	Out There On The Ice
Sigur Ros	Agaetis Byrjun
Justice	Let There Be Lite (Album Version)
Chromeo	Opening Up (Ce Soir On Danse)
Chromeo	Fancy Footwork
Coldplay	Politik
Coldplay	Shiver
Deadmau5	Moar Ghosts 'n' Stuff
Octopus Project	Six Feet Up
Angels and Airwaves	The Gift
Boys Noize	Shine Shine
Justice	Let There Be Light (album version)
Coldplay	Daylight
Octopus Project	What They Found
Coldplay	Spies
Octopus Project	Lots More Stairs
Hot Chip	Bad Luck
Coldplay	Don't Panic
Coldplay	Speed Of Sound
Octopus Project	Malaria Codes
Boys Noize	Lava Lava
Simian Mobile Disco	I GOT THIS DOWN
Octopus Project	The Way Things Go
Cut Copy	Visions
Octopus Project	Bruise
Daft Punk	Television Rules The Nation
Deadmau5	Faxing Berlin
Daft Punk	Human After All
Coldplay	Fix You
Cut Copy	Hearts On Fire
Cut Copy	Strangers In The Wind
Chromeo	Rage!
MSTRKRFT	Street Justice
MSTRKRFT	Work On You
Daft Punk	Burnin' (Ian Pooley cut up mix)
LCD Soundsystem	All My Friends
Daft Punk	Aerodynamite
Muse	Hyper Music [Live]
Hot Chip	Keep Fallin
Chromeo	Bonafied Lovin (Radio Edit)
Boys Noize	Don´t Believe The Hype
Daft Punk	Television Rules The Nation / Crescendolls
LCD Soundsystem	Never As Tired As When I'm Waking Up
Coldplay	Trouble
Octopus Project	The Adjustor
LCD Soundsystem	Disco Infiltrator (FK's Infiltrated Vocal)
Coldplay	For You
Daft Punk	Aerodynamic (Slum Village Remix)
LCD Soundsystem	Watch The Tapes
Culture Club	Do You Really Want To Hurt Me
Foo Fighters	Over And Out
Joshua Radin	The Fear You Won't Fall
Cream	White Room
A Fine Frenzy	Almost Lover (Album Version)
Lily Allen	Mr Blue Sky
New Radicals	You Get What You Give
Metallica	The Unforgiven III
3OH!3	My First Kiss (Feat. Ke$ha) [Album Version]
Marina And The Diamonds	Oh No! (album version)
Edward Sharpe & The Magnetic Zeros	Home
Nightwish	Crownless
Ellie Goulding	Under The Sheets
Justin Bieber	Somebody To Love
Ray LaMontagne	Trouble (Album Version)
Modest Mouse	Float On
Radiohead	(Nice Dream)
Lady GaGa	Alejandro
The Avett Brothers	The Weight Of Lies
Miley Cyrus	Party In The U.S.A.
The Avett Brothers	Shame
MGMT	Time To Pretend
MGMT	Electric Feel
Selena Gomez & The Scene	Naturally
Demi Lovato	Trainwreck
Demi Lovato	Get Back
Black Eyed Peas	Pump It
Demi Lovato	Don't Forget
Miley Cyrus	Full Circle
Demi Lovato	Here We Go Again
Demi Lovato	Believe In Me
Usher featuring will.i.am	OMG
Jason Derulo	Whatcha Say
Hot Chip	Bubbles They Bounce
Hot Chip	Whistle For Will
Hot Chip	Wrestlers
Morcheeba	Blindfold
Brad Paisley	I'm Gonna Miss Her
Beyoncé	Halo
Muse	Uprising
The White Stripes	Seven Nation Army (Album Version)
Owl City	The Saltwater Room
Black Eyed Peas	Imma Be
Eminem / Nate Dogg	'Till I Collapse
Incubus	Wish You Were Here
Tiny Vipers	They Might Follow You
Metallica	Enter Sandman
Linkin Park	Bleed It Out [Live At Milton Keynes]
Avril Lavigne	My Happy Ending
Adam Lambert	Whataya Want From Me
Owl City	Dental Care
Kid Cudi Vs Crookers	Day 'N' Nite
Emmy The Great	Mia
Justin Bieber	One Time
Eagles	Hotel California
Shakira ft. Wyclef Jean	Hips Don't Lie
Linkin Park	Crawling (Album Version)
Lady GaGa	Monster
Lady GaGa / Colby O'Donis	Just Dance
Justin Bieber	Down To Earth
Nickelback	Far Away (Album Version)
Justin Bieber	U Smile
Bon Jovi	Livin' On A Prayer
The All-American Rejects	Gives You Hell
Sean Kingston and Justin Bieber	Eenie Meenie
Vampire Weekend	A-Punk (Album)
Justin Bieber	Love Me
Eminem / Dina Rae	Superman
Radiohead	Karma Police
Skillet	Imperfection (Album Version)
Eminem	Mockingbird
Rihanna	Te Amo
Pearl Jam	Black
Justin Bieber	That Should Be Me
Usher Featuring Lil' Jon & Ludacris	Yeah!
Muse	Supermassive Black Hole (Album Version)
Skillet	Hero (Album Version)
Cage The Elephant	Ain't No Rest For The Wicked (Original Version)
Nickelback	How You Remind Me
Eminem	The Real Slim Shady
3 Doors Down	Kryptonite
Simon Harris	Sample Track 2
La Roux	Bulletproof
Linkin Park	One Step Closer (Album Version)
OneRepublic	All The Right Moves
Secondhand Serenade	Half Alive
Justin Timberlake	What Goes Around...Comes Around
Two Door Cinema Club	What You Know
DJ Dizzy	Sexy Bitch
Evanescence	Bring Me To Life
Second Hand Serenade	Fall For You
Eminem	My Name Is
Death Cab for Cutie	I Will Follow You into the Dark (Album Version)
Florence + The Machine	You've Got The Love
Eminem	Hailie's Song
Kid Cudi / MGMT / Ratatat	Pursuit Of Happiness (nightmare)
Radiohead	Creep (Explicit)
Linkin Park	In The End (Album Version)
Owl City	Meteor Shower
Foo Fighters	The Pretender
Rihanna	Take A Bow
Alicia Keys	If I Ain't Got You
A Day To Remember	If It Means A Lot To You
Eagle-Eye Cherry	Falling In Love Again
Jimmy Eat World	The Middle
Jack Johnson	Bubble Toes
Rage Against The Machine	Killing In The Name
Taylor Swift	You Belong With Me
California Swag District	Teach Me How To Dougie
Justin Bieber	Stuck In The Moment
Drake / Kanye West / Lil Wayne / Eminem	Forever
Bon Iver	Skinny Love
Rise Against	Savior
M.I.A.	Paper Planes
Britney Spears	Toxic
The Black Keys	Tighten Up
The Black Keys	Howlin For You
Justin Bieber	One Less Lonely Girl
Eminem	Without Me
Muse	Resistance
Eagle-Eye Cherry	Save Tonight
Black Eyed Peas	I Gotta Feeling
Keyshia Cole	Superstar
The Verve	Bitter Sweet Symphony
Florence + The Machine	Cosmic Love
Enrique Iglesias	Hero
Five Finger Death Punch	Bad Company
Miley Cyrus	Let's Dance
Yeah Yeah Yeahs	Heads Will Roll
Metallica	One
Justin Bieber	Favorite Girl
The Killers	When You Were Young
Juanes	Para Tu Amor
Rob Zombie	The Devil's Rejects
Juanes	La Camisa Negra
Sade	Hang On To Your Love
Chris Tomlin	Sing_ Sing_ Sing (Key-E-Premiere Performance Plus w/o Background Vocals)
Panic! At The Disco	Introduction (Album Version)
Sade	Smooth Operator
Jack Johnson	If I Could
Sade	No Ordinary Love
Maná	Rayando el sol
Sade	Paradise
Juanes / Nelly Furtado	Fotografía
Black Eyed Peas	Gone Going
Sade	Kiss Of Life
Cat Stevens	But I Might Die Tonight
Sade	Is It A Crime
Sade	Love Is Stronger Than Pride
Sade	The Sweetest Taboo
Sade	Cherish The Day
Frankie Goes To Hollywood	Relax
Cake	Comfort Eagle
Cake	Never There
Muse	Starlight [Live From Wembley Stadium]
Cake	Opera Singer
Cake	Mexico
Cake	Mahna_ Mahna
Black Eyed Peas	Hey Mama
Cake	Frank Sinatra
Travis Tritt	Take It Easy (2006 Remastered Album Version)
Creedence Clearwater Revival	Up Around The Bend
Cake	Let Me Go
Efecto Mariposa	Por quererte
Guns N' Roses	I.R.S.
The Roots	Proceed
Guns N' Roses	Dust N' Bones
Metallica	Dirty Window
Enya	Boadicea
Enya	Epona
Enya	Bard Dance
Enya	Only Time (Original Version)
Enya	The Memory Of Trees (Instrumental)
Enya	May It Be (Album version)
Enya	To Go Beyond (II)
Enya	The Sun In The Stream
Justin Timberlake;Justin Timberlake featuring will.i.am	Damn Girl
Enya	Watermark
Justin Timberlake	Still On My Brain
Enya	Aldebaran
Justin Timberlake duet with Beyonce	Until The End Of Time
Enya	Storms In Africa
Enya	River
Enya	The Spirit Of Christmas Past
Enya	Afer Ventus
Katrina & The Waves	Walking On Sunshine
Toby Keith	American Ride
Enya	Only If
Enya	I Want Tomorrow
+ / - {Plus/Minus}	The Queen of Nothing
Metric	Grow Up and Blow Away
Amy Winehouse	Some Unholy War
Amy Winehouse	Me & Mr Jones
Yann Tiersen	La Noyée
Yann Tiersen	La Dispute
Amy Winehouse	Addicted
Shakira	Octavo Día
Queen	Love Of My Life (1993 Digital Remaster)
Jadakiss / Swizz Beatz / OJ Da Juiceman	Who's Real
Yann Tiersen	La Valse D'Amélie (Version Piano)
Yann Tiersen	Le Moulin
Phil Collins	One More Night
The Postal Service	Such Great Heights
Keith Sweat Featuring Athena Cage	Nobody (Featuring Athena Cage) (LP Version)
Boys Like Girls featuring Taylor Swift	Two Is Better Than One
Alicia Keys	Empire State Of Mind (Part II) Broken Down
The Killers	Losing Touch
The Killers	Ruby_ Don't Take Your Love To Town
The Killers	All The Pretty Faces
The Killers	Leave The Bourbon On The Shelf
Evanescence	My Immortal
The Killers	Smile Like You Mean It
Angus & Julia Stone	Here we go Again
The Killers	Human
Weezer	Only In Dreams
Beach House	10 Mile Stereo
Cartola	Tive Sim
Guns N' Roses	Live And Let Die
Tavares	Heaven Must Be Missing An Angel
Tommy Sands	Teenage Crush
Arcade Fire	I'm Sleeping In A Submarine
Moose	Do You Remember
Cass McCombs feat. Karen Black	Dreams-Come-True-Girl
Amos Lee	Kid
New Order	Age Of Consent
Mariah Carey	Secret Love
Joshua Radin	I'd Rather Be With You
Snow Patrol	Run
Jack Johnson	You And Your Heart
Katy Perry	I Think I'm Ready (Bonus Track)
Toby Keith	I Love This Bar
JET	Are You Gonna Be My Girl (Album Version)
Kanye West	Diamonds From Sierra Leone
Michael Bublé	How Sweet It Is (Album Version)
Imogen Heap	Hide & Seek
Josh Groban	When You Say You Love Me (Album Version)
Crystal Castles	Not In Love
Jack Johnson	Better Together
Colbie Caillat	Break Through
Colbie Caillat	Magic
Colbie Caillat	Breakin' At The Cracks
Nickelback	Never Gonna Be Alone (Album Version)
Colbie Caillat	I Won't
Nickelback	I'd Come For You (Album Version)
Tom Petty And The Heartbreakers	Hometown Blues (Album Version)
The Fray	Over My Head (Cable Car)
Colbie Caillat	Brand New Me
Colbie Caillat	I Never Told You
Usher	Hey Daddy (Daddy's Home)
Colbie Caillat	Circles
Sara Bareilles	Gravity
Colbie Caillat	The Little Things
Skillet	Monster (Album Version)
Colbie Caillat	Capri
Colbie Caillat	Tell Him
Colbie Caillat	It Stops Today
Linkin Park	New Divide (Album Version)
Colbie Caillat	Realize
Colbie Caillat	Oxygen
Colbie Caillat	Fearless
Sara Bareilles	Love Song
Nickelback	Savin' Me
Scissor Sisters	Take Your Mama
Colbie Caillat	Runnin' Around
Colbie Caillat	Turn Your Lights Down Low
Keyshia Cole	Heaven Sent
OneRepublic	Everybody Loves Me
Colbie Caillat	Bubbly
Colbie Caillat	Somethin' Special
Sara Bareilles	One Sweet Love
Colbie Caillat	Rainbow
Owl City	The Airway
Owl City	Super Honeymoon
Crystal Castles	Through The Hosiery
Royksopp	The Girl And The Robot
Crystal Castles	Alice Practise
Crystal Castles	Knights
Crystal Castles	Reckless
Crystal Castles	Airwar
Crystal Castles	Love And Caring
Beach House	Tokyo Witch
Cut Copy	We Fight For Diamonds
Cut Copy	Unforgettable Season
The Knife	One Hit
Royksopp	Miss It So Much
Beach House	Apple Orchard
Crystal Castles	Untrust us
Cut Copy	Far Away
Metric	Live It Out
Crystal Castles	Crimewave (Crystal Castles vs Health)
Cut Copy	Saturdays
Beach House	Home Again
Beach House	Turtle Island
Crystal Castles	Vanished
Tiny Vipers	Dreamer (Album)
Crystal Castles	1991
Royksopp	Happy Up Here
Crystal Castles	Courtship Dating
Crystal Castles	Good Time
The Rolling Stones	Jumping Jack Flash
Dropkick Murphys	The Dirty Glass
Yeah Yeah Yeahs	Modern Romance
Yeah Yeah Yeahs	Yeah! New York
Cracker	I'm A Little Rocket Ship
Kanye West	Stronger
Massive Attack	Splitting The Atom
Wolfsheim	Once In A Lifetime
Frankie Lymon And The Teenagers	Why Do Fools Fall in Love
Penguins	Earth Angel
Dropkick Murphys	The Spicy McHaggis Jig (Album Version)
Lykke Li	Everybody But Me
Creedence Clearwater Revival	Lookin' Out My Back Door
Alliance Ethnik	Représente
Creedence Clearwater Revival	Born On The Bayou
Flogging Molly	Drunken Lullabies
Dropkick Murphys	Time to Go
Chiddy Bang	Opposite Of Adults
Dexys Midnight Runners	Come On Eileen
Cat Stevens	If You Want To Sing Out_ Sing Out
Caribou	Odessa
Massive Attack	Paradise Circus
Massive Attack	Paradise Circus (Gui Boratto Remix)
Morcheeba	Fear And Love
John Legend	Coming Home
Alex Gaudino Feat. Crystal Waters	Destination Calabria
Gorillaz	DARE
Tiësto	In The Dark (ft. Christian Burns)
Massive Attack	Babel
Infected Mushroom	Bust a Move
Daft Punk	Aerodynamic (Daft Punk Remix)
Natiruts	Jamaica Roots II(Agora E Sempre)
Rihanna	We Ride
Kings Of Leon	Pistol Of Fire
Todd Barry	Sugar Ray (LP Version)
Alicia Keys	Un-thinkable (I'm Ready)
Taylor Swift	Forever & Always
Justin Timberlake	LoveStoned/I Think She Knows
The Pussycat Dolls	Buttons
The Pussycat Dolls / Busta Rhymes	Don't Cha
George Lopez	Everything You Touch We Touch First (America'S Mexican)
The Pussycat Dolls	When I Grow Up
Radiohead	Talk Show Host
Vampire Weekend	I Stand Corrected (Album)
Arcade Fire	Keep The Car Running
Edward Sharpe & The Magnetic Zeros	Jade
La Roux	Cover My Eyes
La Roux	Reflections Are Protection
Beirut	The Bunker
The Decemberists	Song for Myla Goldberg
Vampire Weekend	Mansard Roof (Album)
La Roux	Fascination
Eminem	My Darling
Lifehouse	Nerve Damage
Bohren & Der Club Of Gore	Orgelblut
Rinôçérôse / Mark Gardener	Where You From?
Michael Cretu	The Invisible Man
Kosheen	Empty Skies
Postal Service	Nothing Better (Album)
Lady GaGa / Colby O'Donis	Just Dance
Lonnie Gordon	Catch You Baby (Steve Pitron & Max Sanna Radio Edit)
Edwyn Collins	You'll Never Know (My Love) (Bovellian 07 Mix)
Coko featuring Kirk Franklin	I Get Joy
Panic At The Disco	Behind The Sea [Live In Chicago]
Charlie Louvin	I Think I'll Live
Five Iron Frenzy	Canada
Valerio Scanu	Esisti Tu
Cradle Of Filth	Better To Reign In Hell
Andy Starr	Rockin' Rollin' Stone
The Crests	16 Candles
Moby	Why Does My Heart Feel So Bad? (2006 Digital Remaster)
Beastie Boys	Unite (2009 Digital Remaster)
Aaliyah	Rock The Boat
The Notorious B.I.G.	Me & My B*tch (Album Version)
matchbox twenty	Real World  (LP Version)
Robert Johnson	I?'m A Steady Rollin? Man
Gareth Emery	More Than Everything
The Presidents of the United States of America	Feather Pluckn
Nirvana	Been A Son
Enigma	Knocking On Forbidden Doors
Dangerdoom	Mince Meat
Radiohead	Jigsaw Falling Into Place
Danger Doom	El Chupe Nibre (Album Version)
Lupe Fiasco	Shining Down [feat. Matthew Santos] (Amended Album Version)
The Ruts	West One (Shine On Me)
Amy Winehouse	In My Bed
Amy Winehouse	Fool's Gold
Amy Winehouse	Close To The Front
The Killers	Somebody Told Me
The Black Keys	I'll Be Your Man
Nirvana	Heart Shaped Box
Dangerdoom	No Names (Black Debbie)
Danger Doom	The Mask (Featuring Ghostface Killah) (Album Version)
Nirvana	Lithium
Nirvana	Stay Away
Radiohead	Faust Arp
My Chemical Romance	Welcome To The Black Parade (Album Version)
Radiohead	15 Step
Nirvana	Dumb
The Black Keys	Heavy Soul
Danger Doom	Old School Rules (Album Version)
Steppenwolf	Rock Me
Subhumans	Rain
Radiohead	House Of Cards
Gian Marco	Volveré
Radiohead	Weird Fishes/Arpeggi
Danger Doom	A.T.H.F. (Aqua Teen Hunger Force) (Album Version)
Danger Doom	Bada Bing (Album Version)
Lily Allen	U Killed It
Beirut	A Sunday Smile
Elliott Smith	Needle In The Hay
Beirut	Postcards From Italy
The Black Keys	Remember When (Side A)
Eddie Vedder	Guaranteed
La Renga	Panic Show
The Killers	Move Away
Red Hot Chili Peppers	Under The Bridge (Album Version)
Jonas Brothers	Much Better
Plan B	She Said
Red Hot Chili Peppers	Otherside (Album Version)
Staind	Pressure (Explicit LP Version)
Rise Against	Obstructed View
Linkin Park	Enth E Nd (Album Version)
Lifehouse	Empty Space
P.O.D.	Going In Blind
Rise Against	Under The Knife
Rise Against	The Art Of Losing
Rise Against	Reception Fades
Rise Against	Dead Ringer
Basshunter	Strand Tylösand
Creed	Bullets
The Black Keys	I Got Mine
Ray LaMontagne	Barfly
The Black Keys	Next Girl
The Black Keys	Your Touch
Ray LaMontagne	Shelter
The Black Keys	Sinister Kid
Ray LaMontagne	How Come
The Black Keys	Psychotic Girl
Ray LaMontagne	Hold You In My Arms
The Black Keys	Shes Long Gone
The Black Keys	Strange Times
The Black Keys	The Only One
The Black Keys	Ten Cent Pistol
The Black Keys	Black Door
The Black Keys	Im Not The One
Ray LaMontagne	Three More Days
Michael Bublé	Put Your Head On My Shoulder (Album Version)
Michael Bublé	Crazy Little Thing Called Love (Album Version)
Miranda Lambert	Me And Charlie Talking
Radney Foster	Sweet And Wild
Michael Bublé	Moondance (Album Version)
Tenth Avenue North	Times
Tenth Avenue North	Break Me Down
Tenth Avenue North	By Your Side
Michael Bublé	Home (Album Version)
Michael Bublé	Save The Last Dance For Me [Ralphi Rosario Anthomic Vocal]
Tenth Avenue North	Hold My Heart
Rihanna	Don't Stop The Music
Michael Bublé	I've Got You Under My Skin (Album Version)
Taylor Swift	Hey Stephen
Michael Bublé	Come Fly With Me (Album Version)
Miranda Lambert	Gunpowder & Lead
Kanye West	Stronger
Taylor Swift	Change
Michael Bublé	You'll Never Find Another Love Like Mine (Album Version)
Taylor Swift	Forever & Always
Michael Bublé	Try A Little Tenderness (Album Version)
Taylor Swift	Our Song
Michael Bublé	Sway (Album Version)
Miranda Lambert	Me and Your Cigarettes
Michael Bublé	That's All (Album Version)
Taylor Swift / Colbie Caillat	Breathe
Justin Timberlake	Cry Me A River
Michael Bublé	For Once In My Life (Album Version)
Shakira	Las de la Intuición
Ray LaMontagne	Burn
Crystal Castles	Celestica
Justice	Newjack
The xx	Basic Space
Crystal Castles	Baptism
LCD Soundsystem	New York_ I Love You But You're Bringing Me Down
Arctic Monkeys	Brianstorm
The xx	Fantasy
Faith No More	A Small Victory (2009 Remastered)
Arctic Monkeys	Perhaps Vampires Is A Bit Strong But...
Foals	Hummer
Boys Noize	& Down
Arctic Monkeys	Dancing Shoes
Arctic Monkeys	Still Take You Home
The xx	Infinity
Flying Lotus	Testament (feat. Gonja Sufi)
Arctic Monkeys	Red Light Indicates Doors Are Secured
Nickelback	Leader Of Men (Acoustic - 3:23) (Album Version)
Godsmack	Hollow
ENUR Feat NATASJA	Calabria 2007
Lily Allen	Littlest Things
Musiq	Love
Keri Hilson	Tell Him The Truth
The All-American Rejects	Don't Leave Me
The All-American Rejects	The Wind Blows
Godsmack	Vampires
The Pussycat Dolls	Magic
Plies	Kept It Too Real (Amended Album Version)
Justin Bieber	Runaway Love
Lady GaGa	Paper Gangsta
Lily Allen	Not Fair
Lily Allen	Everyone's At It
Coldplay	I Bloom Blaum
Cassie	Call U Out (Album Version)
Coldplay	Bigger Stronger
The All-American Rejects	Back To Me
Katy Perry	Lost
Amy Winehouse	You Know I'm No Good
Jill Scott	Hate On Me
Cassie	Just One Nite (Album Version)
Beyoncé	Get Me Bodied
Kings Of Leon	I Want You
Kings Of Leon	The Runner
The Killers	A Dustland Fairytale
Keyshia Cole	Got To Get My Heart Back
Lily Allen	LDN
Dru Hill	We're Not Making Love No More
The Pussycat Dolls	I'm Done
Beyoncé	Naughty Girl
Mariah Carey	I Stay In Love
Bullet For My Valentine	The Last Fight
Lily Allen	Cheryl Tweedy
Pepper	Sitting On The Curb (LP Version)
Pepper	Stormtrooper (LP Version)
Green Day	Burnout (Album Version)
Feist	1234
Daft Punk	Harder Better Faster Stronger (The Neptunes Remix)
Alexi Murdoch	Song For You
Alexi Murdoch	Dream About Flying
K'Naan	Fatima
Regina Spektor	Human Of The Year (Album Version)
Paramore	I Caught Myself (Twilight Soundtrack Version)
Paramore	Never Let This Go (Album Version)
Paramore	Miracle (Album Version)
Paramore	For A Pessimist_ I'm Pretty Optimistic (Album Version)
Passion Pit	Cuddle Fuddle
Bon Iver	re:stacks
Alexi Murdoch	Love You More
Rage Against The Machine	Wind Below
The Strokes	I'll Try Anything Once
Nine Inch Nails	Piggy
Pixies	The Happening
Placebo	The Bitter End
Nine Inch Nails	Hurt
Nine Inch Nails	Closer
Nine Inch Nails	Heresy
Kaiser Chiefs	I Predict A Riot
Foo Fighters	Home
Nine Inch Nails	Dead Souls (LP Version)
Muse	Plug In Baby
Kaiser Chiefs	Everyday I Love You Less and Less
Avenged Sevenfold	Shattered By Broken Dreams
Justin Bieber	Never Let You Go
Nine Inch Nails	Pilgrimage
Guns N' Roses	Don't Cry (Original)
Bon Jovi	This Ain't A Love Song
Guns N' Roses	Ain't It Fun
Bon Jovi	In These Arms
Bon Jovi	Lay Your Hands On Me
Faith No More	Epic
Guns N' Roses	Back Off Bitch
John Mayer	Say
Guns N' Roses	Catcher In The Rye
Guns N' Roses	14 Years
Guns N' Roses	This I Love
Guns N' Roses	Coma
Guns N' Roses	Patience
Guns N' Roses	Locomotive (Complicity)
Guns N' Roses	Bad Obsession
Guns N' Roses	Raw Power
Switchblade Symphony	Dollhouse
Guns N' Roses	Right Next Door To Hell
Guns N' Roses	The Garden
Jill Scott	The Real Thing
Guns N' Roses	You're Crazy
Bell Biv DeVoe	Poison
Guns N' Roses	Out Ta Get Me
Guns N' Roses	Rocket Queen
L.A. Guns	The Ballad Of Jayne
Guns N' Roses	Think About You
Survivor	Eye Of The Tiger
Guns N' Roses	One In A Million
Phil Collins	Another Day In Paradise
Guns N' Roses	Attitude
Guns N' Roses	Dead Horse
Counting Crows	Mr. Jones
Guns N' Roses	So Fine
Guns N' Roses	Madagascar
Bon Jovi	You Give Love A Bad Name
Guns N' Roses	You Ain't The First
Young Bleed	We Don't Stop (Explicit)
Captain Sensible	Wot
Queen	Who Wants To Live Forever (With Commentary)
Colossal	Brave The Elements
Guns N' Roses	Paradise City
Disturbed	Inside The Fire (Album Version)
Guns N' Roses	Buick Makane (Big Dumb Sex)
Green Day	St. Jimmy [feat. Green Day & The Cast Of American Idiot] (Album Version)
Lionel Richie	All Night Long (All Night)
Bon Jovi	Something For The Pain
Kajagoogoo	Too Shy
Miley Cyrus	The Climb
Guns N' Roses	Don't Damn Me
