artist	title
Alison Krauss / Union Station	Every Time You Say Goodbye
Alan Jackson	I'll Go On Loving You
Coldplay	Life In Technicolor
Billy Currington	Walk A Little Straighter
Erin McKeown	Lullaby In Three/Four
Coldplay	Clocks
Bee Gees	Nights On Broadway (Album Version)
Caetano Veloso	O Samba E O Tango
Cut Copy	Lights & Music
Boys Noize	Arcade Robot
MSTRKRFT	Neon Knights
Boys Noize	Deny Selected
Octopus Project	Hold The Ladder
Fergie	Wake Up
Flying Lotus	SexSlaveShip
Buckcherry	Lit Up
LCD Soundsystem	Tribulations
Deadmau5	Ghosts 'n' Stuff (Original Instrumental Mix)
Caribou (formerly Dan Snaith's Manitoba)	Air Doom
Deadmau5 & Kaskade	I Remember
Carpenters	There's A Kind Of Hush
The Knife	Silent Shout
Fernando Soto	Suena tu guitarra
Coldplay	Strawberry Swing
Cut Copy	Feel The Love
Coldplay	God Put A Smile Upon Your Face
Fatboy Slim	Illuminati
Coldplay	Brothers & Sisters
Paul Kalkbrenner	Marbles
Selena	Amor Prohibido
Metallica	Welcome Home (Sanitarium)
Plain White T S	A Lonely September (Album)
LCD Soundsystem	Too Much Love
Four Tet	Angel Echoes
MSTRKRFT	She's Good For Business
Holy Fuck	Choppers
Skream	Kut-Off
Jimmy Eat World	Work
Epica	Incentive (Bonus Track)
Thomas Gold & Matthias Menck	Everybody Be Somebody
Deep Blue Something	Breakfast At Tiffany's
Octopus Project	Marshall Examines His Carcass
Coldplay	We Never Change
Justice	Waters Of Nazareth (album version)
Coldplay	Life In Technicolor ii
The New Pornographers	Myriad Harbour
Binary Star	Honest Expression
Saliva	Doperide
Antony & The Johnsons	Hope There's Someone
LCD Soundsystem	Daft Punk Is Playing At My House
Musiq / Osunlade	Mary Go Round
Octopus Project	Exit Counselor
Melody Club	Evil Thing
Octopus Project	Hypnopaedia
James Blunt	Goodbye My Lover (Radio Edit)
Boys Noize	The Battery
Coldplay	The Scientist
Boys Noize	Superfresh
Boys Noize	Oh!
LCD Soundsystem	On Repeat
Weezer	No One Else
Four Tet	Everything Is Alright
The Beastie Boys	She's Crafty
Sigur Rós	Sæglópur
Simian Mobile Disco	Simple
Beastie Boys	Ch-Check It Out
Boys Noize	Let´s Buy Happiness
Coldplay	Sparks
Nicolette	No Government
Bloodhound Gang	Foxtrot Uniform Charlie Kilo
1001	Underground
Justice	Valentine
Skream	Tortured Soul
Coldplay	Warning Sign
Regina Spektor	Poor Little Rich Boy (Remastered Version)
Beastie Boys	The Maestro
Bloodhound Gang	I Wish I Was Queer So I Could Get Chicks
Voo Doo Phunk	Habalim
Coldplay	In My Place
Simian Mobile Disco	Hustler
Sigur Rós	Sé Lest
Weezer	Holiday
Michael Jackson	Thriller
Hot Chip	Baby said
LCD Soundsystem	Get Innocuous!
Four Tet	Glue Of The World
The Lonely Island / T-Pain	I'm On A Boat
Holy Fuck	Frenchys
Justice	Phantom
Bloodhound Gang	Uhn Tiss Uhn Tiss Uhn Tiss
The Lonely Island / Natalie Portman / Chris Parnell	Natalie's Rap
The Lonely Island / Chris Parnell	Lazy Sunday
Eminem	Just Lose It
Sigur Rós	Gong
The Beastie Boys	No Sleep Till Brooklyn
Suzi Quatro	Keep A Knockin'
Weezer	Surf Wax America
LCD Soundsystem	Great Release
Coldplay	Violet Hill
Coldplay	Lost!
Bloodhound Gang	The Ballad Of Chasey Lain
Simian Mobile Disco	Hotdog
Justice	DVNO
Andrea Bocelli	Pero Te Extraño
Digitalism	Digitalism In Cairo (Digitalism's Extended Mix)
Creedence Clearwater Revival	Susie Q
Coldplay	Yellow
Brooke Fraser	Hymn
Boys Noize	Lava Lava
OneRepublic	Made For You
Hot Chip	Beach Party
Octopus Project	Responsible Stu
Coldplay	Cemeteries Of London
Sigur Ros	ný Batterý
Coldplay	A Rush Of Blood To The Head
Elliott Smith	Pictures Of Me
Hot Chip	No Fit State
Skream	Stagger
Four Tet	Harmony One
Holy Fuck	The Pulse
The Ordinary Boys	Boys Will Be Boys
Cut Copy	Out There On The Ice
Sigur Ros	Agaetis Byrjun
Miley Cyrus	Obsessed
Chromeo	Opening Up (Ce Soir On Danse)
Four Tet	Twenty Three
Chromeo	Fancy Footwork
Ramones	Let's Dance (Remastered Album Version )
Big Shug	It Just Don't Stop
Coldplay	Politik
Coldplay	Shiver
Deadmau5	Moar Ghosts 'n' Stuff
Octopus Project	Six Feet Up
Angels and Airwaves	The Gift
Boys Noize	Shine Shine
Justice	Let There Be Light (album version)
Radney Foster	Big Idea
Casting Crowns	Who Am I (Medium without background vocals)
Phoenix	Long Distance Call
Octopus Project	What They Found
Coldplay	Spies
Amon Tobin	Creatures
Hot Chip	Bad Luck
Coldplay	Don't Panic
Coldplay	Speed Of Sound
LCD Soundsystem	North American Scum
Calle 13 Featuring La Mala Rodríguez	Mala Suerta con el 13
Gat Décor	Passion
Radney Foster	The Kindness Of Strangers
Boys Noize	Lava Lava
John Mayer	All We Ever Do Is Say Goodbye
Octopus Project	The Way Things Go
Lionel Richie	Hello
The Knack	My Sharona
Deadmau5	Faxing Berlin
Coldplay	Fix You
Cut Copy	Hearts On Fire
Cut Copy	Strangers In The Wind
Chromeo	Rage!
MSTRKRFT	Street Justice
MSTRKRFT	Work On You
Selena	Bidi Bidi Bom Bom
Morcheeba	Part Of The Process
10 Years	Picture Perfect (In Your Eyes)
Holy Fuck	Safari
Lalah Hathaway	Forever_ For Always_ For Love
Friendly Fires	Paris
LCD Soundsystem	All My Friends
Daft Punk	Aerodynamite
La Oreja de Van Gogh	Cuídate
Casting Crowns	East To West
Bitter Sweet	The Bomb
Holy Fuck	Lovely Allen
Caifanes	No Dejes Que...
Chromeo	Bonafied Lovin (Radio Edit)
Boys Noize	Don´t Believe The Hype
Friendly Fires	Photobooth
Daft Punk	Television Rules The Nation / Crescendolls
LCD Soundsystem	Never As Tired As When I'm Waking Up
Coldplay	Trouble
Orishas	Atrevido
The Knife	Forest Families
Orishas	Orishas Llego
LCD Soundsystem	Disco Infiltrator (FK's Infiltrated Vocal)
Stefan Schrom	I Feel For You
Totta Näslund	Hemma Före Mörkret
Wiz Khalifa	Say Yeah (Album Version)
LCD Soundsystem	Watch The Tapes
Animal Collective	Bluish
Orishas	Mistica
Culture Club	Do You Really Want To Hurt Me
Los Updates	Aviador
Bloodhound Gang	Pennsylvania
Foals	Electric Bloom
Green Day	Whatsername [feat. Green Day & The Cast Of American Idiot] (Album Version)
The Beach Boys	Cotton Fields (The Cotton Song) (Digitally Remastered 01)
George Younce	This Old House w/ When The Saints Medley
Gary Allan	Smoke Rings In The Dark
All Time Low	Dear Maria_ Count Me In
Rilo Kiley	Paint's Peeling
Orishas	El Kilo
Charly García	Anhedonia
Cream	White Room
A Fine Frenzy	Almost Lover (Album Version)
Caifanes	Matenme Porque Me Muero
Orishas	Hay Un Son
Disturbing Tha Peace / Ludacris / Mystikal / I-20	Move Bitch
Machine Head	Bulldozer (Hellalive) (Album Version)
Orishas	Nací Orishas
New Radicals	You Get What You Give
Metallica	The Unforgiven III
3OH!3	My First Kiss (Feat. Ke$ha) [Album Version]
Clara Hill	Clara meets Slope - Hard To Say
Andrew Bird	Heretics
Radiohead	Just
Damien Rice	Cannonball
The Pussycat Dolls	Love The Way You Love Me
Pixies	Monkey Gone To Heaven
Marina And The Diamonds	Oh No! (album version)
Edward Sharpe & The Magnetic Zeros	Home
Creedence Clearwater Revival	Down On The Corner
Pantera	I'm Broken  (LP Version)
K-OS	Freeze
Cake	Short Skirt/Long Jacket
Ellie Goulding	Under The Sheets
Radiohead	There_ There
Yann Tiersen	La Valse D'Amélie (Version Orchestre)
Amy Winehouse	I Heard Love Is Blind
Plan B	Stay Too Long
Cat Power	Good Woman
Justin Bieber	Somebody To Love
Cat Power	The Greatest
Joe Nichols	It's Me I'm Worried About
The Strokes	The End Has No End
Modest Mouse	Float On
Radiohead	(Nice Dream)
Explosions In The Sky	The Only Moment We Were Alone
Carolina Liar	Show Me What I'm Looking For (Album Version)
Lady GaGa	Alejandro
Incubus	Bass Solo
Phoenix	Everything Is Everything
Miley Cyrus	Party In The U.S.A.
Pendulum	Granite [Dillinja remix]
MGMT	Time To Pretend
MGMT	Electric Feel
Chase & Status	End Credits
Selena Gomez & The Scene	Naturally
Demi Lovato	Until You're Mine
Elliott Smith	Between The Bars
Abba	Take A Chance On Me
Gwen Stefani / Johnny Vulture	Bubble Pop Electric
Erin McKeown	You Mustn't Kick It Around
Wolfmother	Woman
Radiohead	Subterranean Homesick Alien
Pandora's Box	The Want Ad
Arcade Fire	The Well And The Lighthouse
Coldplay	Only Superstition
Black Eyed Peas	Pump It
Demi Lovato	Don't Forget
Demi Lovato / Jonas Brothers	On The Line
Pixies	Wave of Mutilation (UK Surf Version)
Les Savy Fav	Bringing Us Down
Demi Lovato	Here We Go Again
Kiss	Rock And Roll All Nite
Phoenix	Too Young
Phoenix	Lasso
Max Richter	Horizon Variations
Prince	I Feel For You
Usher featuring will.i.am	OMG
Jason Derulo	Whatcha Say
Pixies	Broken Face
Pixies	Bone Machine
Gang Starr	Full Clip (Explicit)
Billy Talent	Pins And Needles (Album Version)
Brooks & Dunn	Red Dirt Road
Fu	Paradoks
Morcheeba	Blindfold
Clay Walker	One_ Two_ I Love You (Album Version)
Zion Train	Galaxy
James Blunt	Goodbye My Lover
Brad Paisley	I'm Gonna Miss Her
Taking Back Sunday	You're So Last Summer (Album Version)
Beyoncé	Halo
Muse	Uprising
The White Stripes	Seven Nation Army (Album Version)
Owl City	The Saltwater Room
Black Eyed Peas	Imma Be
Eminem / Nate Dogg	'Till I Collapse
Carnal Forge	Decades Of Despair
LL Cool J	Loungin (Who Do Ya Luv)
Incubus	Wish You Were Here
Tiny Vipers	They Might Follow You
Metallica	Enter Sandman
Linkin Park	Bleed It Out [Live At Milton Keynes]
Avril Lavigne	My Happy Ending
Adam Lambert	Whataya Want From Me
Owl City	Dental Care
Kid Cudi Vs Crookers	Day 'N' Nite
Emmy The Great	Mia
Justin Bieber	One Time
Eagles	Hotel California
Shakira ft. Wyclef Jean	Hips Don't Lie
Linkin Park	Crawling (Album Version)
Lady GaGa	Monster
Lady GaGa / Colby O'Donis	Just Dance
Justin Bieber	Down To Earth
Fat Joe	Lean Back [Remix feat. Lil Jon_ Eminem_ Mase & Remy Martin] (Album Version - Amended)
Nickelback	Far Away (Album Version)
James Blunt	Shine On  (Album Version)
Justin Bieber	U Smile
Bon Jovi	Livin' On A Prayer
The All-American Rejects	Gives You Hell
Sean Kingston and Justin Bieber	Eenie Meenie
Vampire Weekend	A-Punk (Album)
Justin Bieber	Love Me
Eminem / Dina Rae	Superman
Radiohead	Karma Police
Jonathan Coulton	Shop Vac
Eminem	Mockingbird
Rihanna	Te Amo
Pearl Jam	Black
Justin Bieber	That Should Be Me
Usher Featuring Lil' Jon & Ludacris	Yeah!
Muse	Supermassive Black Hole (Album Version)
Skillet	Hero (Album Version)
Cage The Elephant	Ain't No Rest For The Wicked (Original Version)
Nickelback	How You Remind Me
Eminem	The Real Slim Shady
Jonathan Coulton	Still Alive
3 Doors Down	Kryptonite
Simon Harris	Sample Track 2
La Roux	Bulletproof
Linkin Park	One Step Closer (Album Version)
OneRepublic	All The Right Moves
the bird and the bee	Birds and the Bees
Justin Timberlake	What Goes Around...Comes Around
Two Door Cinema Club	What You Know
DJ Dizzy	Sexy Bitch
Evanescence	Bring Me To Life
Second Hand Serenade	Fall For You
The Soggy Bottom Boys	I Am A Man Of Constant Sorrow
Eminem	My Name Is
Death Cab for Cutie	I Will Follow You into the Dark (Album Version)
Florence + The Machine	You've Got The Love
Eminem	Hailie's Song
Kid Cudi / MGMT / Ratatat	Pursuit Of Happiness (nightmare)
Radiohead	Creep (Explicit)
Linkin Park	In The End (Album Version)
Owl City	Meteor Shower
Foo Fighters	The Pretender
Rihanna	Take A Bow
Tevin Campbell	I'm Ready (Album Version)
Alicia Keys	If I Ain't Got You
A Day To Remember	If It Means A Lot To You
Craig David	Rise & Fall [Feat. Sting]
Kanye West	Street Lights
Jimmy Eat World	The Middle
Jack Johnson	Bubble Toes
Rage Against The Machine	Killing In The Name
Taylor Swift	You Belong With Me
California Swag District	Teach Me How To Dougie
Justin Bieber	Stuck In The Moment
Drake / Kanye West / Lil Wayne / Eminem	Forever
Bon Iver	Skinny Love
Rise Against	Savior
M.I.A.	Paper Planes
Britney Spears	Toxic
The Black Keys	Tighten Up
The Black Keys	Howlin For You
Justin Bieber	One Less Lonely Girl
Eminem	Without Me
Muse	Resistance
Eagle-Eye Cherry	Save Tonight
Black Eyed Peas	I Gotta Feeling
Julie London	You'd Be So Nice To Come Home To
The Verve	Bitter Sweet Symphony
Florence + The Machine	Cosmic Love
Enrique Iglesias	Hero
Five Finger Death Punch	Bad Company
Miley Cyrus	Let's Dance
Yeah Yeah Yeahs	Heads Will Roll
Alison Krauss / Union Station	Restless
Zac Brown Band	Jolene (Album)
Metallica	One
Justin Bieber	Favorite Girl
The Killers	When You Were Young
Toby Keith	American Soldier
The All-American Rejects	Move Along
Fort Minor (Featuring Common And Styles Of Beyond)	Back Home (Album Version)
Sondre Lerche	Hoisting The Flag
Juanes	Para Tu Amor
Rob Zombie	The Devil's Rejects
Juanes	La Camisa Negra
Nickelback	Because Of You (Album Version)
Chris Tomlin	Sing_ Sing_ Sing (Key-E-Premiere Performance Plus w/o Background Vocals)
Lupe Fiasco	American Terrorist [feat. Matthew Santos] (Explicit Album Version)
Jurassic 5	High Fidelity
Jurassic 5 / Nelly Furtado	Thin Line
Sade	Smooth Operator
Jack Johnson	If I Could
Corinne Bailey Rae	Till It Happens To You
Girl Talk	Summer Smoke
Corinne Bailey Rae	Put Your Records On
Billy Currington	That's How Country Boys Roll
Girl Talk	Hold up
Sade	No Ordinary Love
ARRESTED DEVELOPMENT	Tennessee (Pirate Radio Mix)
Maná	Rayando el sol
Sade	Paradise
OneRepublic	Good Life
Juanes / Nelly Furtado	Fotografía
Girl Talk	Ask about me
Nickelback	Feelin' Way Too Damn Good
Aphex Twin	Ptolemy
Sade	Kiss Of Life
Eric Prydz	Pjanoo
NEEDTOBREATHE	Something Beautiful (Album Version)
The Presets	I Go Hard_ I Go Home
Mr. Scruff feat. Roots Manuva	JusJus
Enigma	Smell Of Desire.
Sade	Is It A Crime
Shakira	Pienso En Ti
Sade	Love Is Stronger Than Pride
Rilo Kiley	It Just Is (Album Version)
Kato	Hey Shorty (Yeah Yeah Pt. II) (Feat. U$O & Johnson)
Sade	The Sweetest Taboo
Francisca Valenzuela	Muérdete la lengua
Sade	Cherish The Day
Camille	Janine 3
Frankie Goes To Hollywood	Relax
Cake	Comfort Eagle
Cake	Never There
Sev Statik	MIC (Speak Life Album Version)
Cake	Opera Singer
Cake	Commissioning A Symphony In C
Celtic Woman	Someday
Cake	Mahna_ Mahna
Black Eyed Peas	Hey Mama
Celtic Woman	You Raise Me Up
Jim Jones & Ron Browz featuring Juelz Santana	Pop Champagne
Cake	Frank Sinatra
Paolo Nutini	No Other Way (album)
Perfect Stranger	W
Cake	Let Me Go
Efecto Mariposa	Por quererte
Los Pericos	Molly
Murder By Death	A Second Opinion
The Roots	Proceed
Edward Sharpe & The Magnetic Zeros	Desert Song
Markus Schulz	Daydream
OutKast	God
Edward Sharpe & The Magnetic Zeros	Up From Below
The Black Keys	Girl Is On My Mind
Brad Paisley	Mud On The Tires
Dan Auerbach	I Want Some More
Edward Sharpe & The Magnetic Zeros	Brother
Eve / Truth Hurts	What
Amity in fame	Relegate the Judge
The Black Keys	The Desperate Man
Edward Sharpe & The Magnetic Zeros	Janglin
Enya	Boadicea
Enya	Epona
Enya	Bard Dance
Enya	Only Time (Original Version)
Enya	The Memory Of Trees (Instrumental)
Rammstein	AMERIKA
Enya	May It Be (Album version)
Van Halen	Dreams (Remastered Version)
Enya	The Sun In The Stream
Justin Timberlake;Justin Timberlake featuring will.i.am	Damn Girl
MC Hammer	U Can't Touch This
Enya	Watermark
Faith No More	Last Cup Of Sorrow
Rammstein	Keine Lust
Enya	Aldebaran
Rammstein	OHNE DICH
Alice In Chains	Man In The Box
Dash Berlin	Till The Sky Falls Down
Justin Timberlake duet with Beyonce	Until The End Of Time
Enya	Storms In Africa
Soda Stereo	Un Misil En Mi Placard
Rammstein	Links 2 3 4
Dave Grusin	St. Elsewhere
Iron Maiden	Holy Smoke
Death Cab for Cutie	Brothers on a Hotel Bed (Rolling Stone Original)
Céline Dion	The Power Of Love
Faith No More	Evidence
Walls Of Jericho	Ember Drive
Katrina & The Waves	Walking On Sunshine
Faith No More	Digging The Grave
Faith No More	Falling To Pieces
Enya	Shepherd Moons (Remastered 2009)
Michael Jackson	Scream
Enya	Only If
Enya	I Want Tomorrow
Rammstein	Feuer Frei
Usher Featuring Kelis	U Don't Have To Call
Rammstein	Ich Will
OneRepublic	All This Time
Metric	Grow Up and Blow Away
Toby Keith	American Ride
Amy Winehouse	Some Unholy War
House Of Pain	Jump Around (LP Version)
Air France	Windmill Wedding
Amy Winehouse	Me & Mr Jones
Rammstein	Sonne
Yann Tiersen	La Noyée
Yann Tiersen	La Dispute
Amy Winehouse	Addicted
Faith No More	From Out Of Nowhere
U2	Bad
Shakira	Octavo Día
Maroon 5	Nothing Lasts Forever
Queen	Love Of My Life (1993 Digital Remaster)
David Gray	Hold On
Jadakiss / Swizz Beatz / OJ Da Juiceman	Who's Real
Yann Tiersen	La Valse D'Amélie (Version Piano)
Yann Tiersen	Le Moulin
Phil Collins	One More Night
Amos Lee	Arms Of A Woman
The Postal Service	Such Great Heights
Toby Keith	Courtesy Of The Red_ White And Blue (The Angry American)
Keith Sweat Featuring Athena Cage	Nobody (Featuring Athena Cage) (LP Version)
The Smiths	Pretty Girls Make Graves
Boys Like Girls featuring Taylor Swift	Two Is Better Than One
Nick Drake	One Of These Things First
The Notorious B.I.G.	One More Chance (Album Version)
Alicia Keys	Empire State Of Mind (Part II) Broken Down
The Smiths	Heaven Knows I'm Miserable Now
The Killers	Losing Touch
Prince & The Revolution	Kiss (LP Version)
The Smiths	Hand In Glove
The Killers	All The Pretty Faces
Kaiser Chiefs	Heat Dies Down
Fever Ray	If I Had A Heart
Evanescence	My Immortal
D'Angelo	Brown Sugar (Edited)
The Killers	Smile Like You Mean It
Angus & Julia Stone	Here we go Again
Brooke Fraser	Shadow Feet
Warren Barfield	Love Is Not A Fight
The Killers	Human
The Doobie Brothers	Take Me In Your Arms (Rock Me A Little While)
Brooke Fraser	Seeds
Weezer	Only In Dreams
Talib Kweli	Get By
Thievery Corporation	Transcendence
Captain Jack	Captain Jack
Interpol	Not Even Jail
Interpol	Pioneer to The Falls
Cartola	Tive Sim
Mother Mother	Body
Kurt Vile	Freak Train
Kaoma	Lambada
Nick Lowe	All Men Are Liars
Guns N' Roses	Live And Let Die
Tavares	Heaven Must Be Missing An Angel
John Waite	White Heat
Modjo	Lady (Hear Me Tonight)
Musiq	143
South Park	Kyle's Mom's A Bitch (LP Version)
The Presidents of the United States of America	Naked and Famous
Tommy Sands	Teenage Crush
Arcade Fire	I'm Sleeping In A Submarine
Kim Carnes	Bette Davis Eyes
Moose	Do You Remember
Red Hot Chili Peppers	Death Of A Martian (Album Version)
Cass McCombs feat. Karen Black	Dreams-Come-True-Girl
The Darkness	I Believe In A Thing Called Love
Joseph Spence	There will be a happy meeting in Glory
Amos Lee	Kid
Lil Scrappy	I'm Back (Album Version)
Melendi	Con La Luna Llena
Rodrigo y Gabriela	Hanuman
Soundgarden	Burden In My Hand
Black Label Society	Electric Hellfire
Kate Nash	Merry Happy / Little Red
Joshua Radin	I'd Rather Be With You
Snow Patrol	Run
Mae	Someone Else's Arms
Jurassic 5	Quality Control
Jack Johnson	You And Your Heart
James Blunt	Same Mistake  (Album Version)
Toby Keith	I Love This Bar
JET	Are You Gonna Be My Girl (Album Version)
Billy Talent	Standing In The Rain
Joshua Radin_ Schuyler Fisk	Paperweight
Flogging Molly	What's Left of the Flag
Bright Eyes	First Day Of My Life (Single Version)
Imogen Heap	Hide & Seek
Josh Groban	When You Say You Love Me (Album Version)
3 Doors Down	Give It To Me
Arcade Fire	Headlights Look Like Diamonds
3 Doors Down	The Road I'm On
Crystal Castles	Not In Love
Jack Johnson	Better Together
Nickelback	Animals [Live In Atlanta]
3OH!3	DONTTRUSTME (Explicit Album Version)
Owl City	I'll Meet You There
3 Doors Down	Citizen/Soldier
3 Doors Down	Away From The Sun
Colbie Caillat	Break Through
My Chemical Romance	Teenagers (Album Version)
Colbie Caillat	Magic
Fleet Foxes	Sun It Rises
Fleet Foxes	Ragged Wood
Frou Frou	Only Got One
Nickelback	Never Gonna Be Alone (Album Version)
Frou Frou	It's Good To Be In Love
Colbie Caillat	I Won't
Akon	Be With You
Justin Timberlake	Señorita
Nickelback	I'd Come For You (Album Version)
Vienna Teng	Shine
Akon	Freedom
Luke Bryan	What Country Is
Mystikal	Alright
The Fray	Over My Head (Cable Car)
Luke Bryan	Do I
Alkaline Trio	Radio
Colbie Caillat	I Never Told You
The Red Jumpsuit Apparatus	False Pretense
Usher	Hey Daddy (Daddy's Home)
Kat DeLuna	Como Un Sueño (Am I Dreaming)
Frou Frou	Shh
Girl Talk	Double Pump
Sara Bareilles	Gravity
Colbie Caillat	The Little Things
Skillet	Monster (Album Version)
Daddy Yankee	La Señal
Colbie Caillat	It Stops Today
Linkin Park	New Divide (Album Version)
Colbie Caillat	Realize
Colbie Caillat	Fearless
David Guetta - Joachim Garraud - Chris Willis	Stay
Sara Bareilles	Love Song
Nickelback	Savin' Me
Mat Kearney	Closer To Love
Deana Carter	She's Good For You
Porcupine Tree	Way Out of Here [Album Version]
Slipknot	Purity (Album Version)
Fall Out Boy	Saturday
OneRepublic	Everybody Loves Me
Colbie Caillat	Bubbly
Thievery Corporation	38:45 (A Thievery Number)
Colbie Caillat	Rainbow
Fall Out Boy	Golden
Royksopp	The Girl And The Robot
Crystal Castles	Alice Practise
Crystal Castles	Knights
Crystal Castles	Reckless
Crystal Castles	Airwar
R.I.O.	When The Sun Comes Down
Fall Out Boy	Nobody Puts Baby In The Corner
Cut Copy	We Fight For Diamonds
Cut Copy	Unforgettable Season
Royksopp	Miss It So Much
Crystal Castles	Untrust us
Cut Copy	Far Away
Hot Hot Heat	Talk To Me_ Dance With Me
Crystal Castles	Crimewave (Crystal Castles vs Health)
Jordin Sparks	Tattoo
Crystal Castles	Vanished
Fall Out Boy	Sending Postcards From A Plane Crash [Wish You Were Her] (Album Version)
Royksopp	Happy Up Here
Crystal Castles	Courtship Dating
The Rolling Stones	Jumping Jack Flash
Dropkick Murphys	The Dirty Glass
The Kingston Trio	Greenback Dollar
Lucero	Veleta (En Vivo Auditorio Nacional)
Cracker	I'm A Little Rocket Ship
Kanye West	Stronger
The Dears	Berlin Heart
Musiq	Just Friends (Sunny)
Massive Attack	Splitting The Atom
Dropkick Murphys	Captain Kelly's Kitchen
Wolfsheim	Once In A Lifetime
The Fray	Never Say Never
Frankie Lymon And The Teenagers	Why Do Fools Fall in Love
The Morning Benders	Cold War
Penguins	Earth Angel
Fall Out Boy	This Ain't A Scene_ It's An Arms Race
Tito El Bambino	Me Da Miedo
Creedence Clearwater Revival	Lookin' Out My Back Door
Chuck Mangione	Feels So Good
India.Arie	The Truth
Alliance Ethnik	Représente
Calvin Harris	I'm Not Alone
Héroes del Silencio	Opio (Ganges Vals Version)
Creedence Clearwater Revival	Born On The Bayou
Flogging Molly	Drunken Lullabies
Juanes	Sueños
Chiddy Bang	Opposite Of Adults
Dexys Midnight Runners	Come On Eileen
Cat Stevens	If You Want To Sing Out_ Sing Out
Deviates	My Life
Caribou	Odessa
Faithless	Take The Long Way Home
All Time Low	Come One_ Come All
The Maine	I Wanna Love You (Akon Cover) ( Compilation)
Beck	E-Pro
Massive Attack	Paradise Circus
Pixies	Where Is My Mind?
Morcheeba	Fear And Love
